"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"v6pv","Pizza Hut Delivery (D'Pulze)","Pizza","4.5","(1000+)","Cyberjaya",""
"g4cu","Saba Restaurant (Cyberjaya)","Chicken","4.7","(3000+)","Cyberjaya",""
"pl2z","Little Italy (D’Pulze)","Pasta","4.7","(20)","Cyberjaya",""
"bc97","Yummy Chocolate Cafe","Bread","4.8","(100+)","Cyberjaya",""
"n9tp","Anies Bake House (D Pulze)","Cakes","4.6","(100+)","Cyberjaya",""
"n2jj","Krispy Kreme (DPulze)","Bread","4.6","(3000+)","Cyberjaya",""
"xf7j","Restoran Zam Ikan Bakar Cyberjaya","Malaysian","5","(1)","Cyberjaya",""
"s8ak","Boost Juice (DPULZE)","Juice","4.9","(1000+)","Cyberjaya",""
"jzrj","NASI KUKUS PAPA","Malaysian","4.6","(100+)","Cyberjaya",""
"kos7","Ayam Getok Mantul (Cyberjaya)","Fried Chicken","4.4","(2000+)","Cyberjaya",""
"m1ot","Puffy Buffy Cafe","Malaysian","4.4","(1000+)","Cyberjaya",""
"ft13","Daging Merah Loqstaq (Cyberjaya)","Malaysian","4.4","(100+)","Cyberjaya",""
"uwuj","Uncle Bob D'Pulze","Asian","4.6","(62)","Cyberjaya",""
"k629","DMR Segar Dim Sum Halal - D Pulze Cyberjaya","Asian","4.3","(14)","Cyberjaya",""
"kky3","Hojushee Cafe","Asian","4","(100+)","Cyberjaya",""
"q4gc","The Chicken Rice Shop (Dpulze)","Chicken","4.6","(2000+)","Cyberjaya",""
"jkng","Shawarma Lazeez Express","Shawarma","4.1","(100+)","Cyberjaya",""
"ljzu","PISANG GORENG BOSS | NASI MINYAK BOSS (Putrajaya)","Pisang Goreng","4.1","(9)","Cyberjaya",""
"tyvn","MAQAN MUZIQ EATERTAINMENT EMPIRE","Malaysian","2","(1)","Cyberjaya",""
"k53f","kedai kopi sudin","Roti Canai","4.8","(100+)","Cyberjaya",""
"o4sk","A&W (D'Pulze)","Fast Food","4.6","(4000+)","Cyberjaya",""
"derp","Bhai Jim Jum (DPulze Shopping Centre)","Thai","4.8","(5)","Cyberjaya",""
"qab9","Dapoana","Malaysian","4.6","(500+)","Cyberjaya",""
"m0nq","BBQ Chicken (Cyberjaya)","Chicken","4.6","(1000+)","Cyberjaya",""
"t3oq","ILAPARLAH","Fried Chicken","4.7","(500+)","Cyberjaya",""
"w1j2","Marrybrown (Neocyber, Cyberjaya)","Fast Food","4.8","(41)","Cyberjaya",""
"n2cf","Chennai Spice Restaurant (Cyberjaya)","Indian","4.4","(1000+)","Cyberjaya",""
"govt","Restoran daun kesom","Malaysian","4.4","(100+)","Cyberjaya",""
"djzl","Gong Cha (DPulze)","Tea","4.9","(100+)","Cyberjaya",""
"c800","NASI PAKU CYBERJAYA","Malaysian","4.9","(19)","Cyberjaya",""
"ulyp","Warung Hanna (Plaza Crystalville)","Nasi Lemak","4.5","(1000+)","Cyberjaya",""
"n4mp","Safaa Restaurant (Cyberjaya)","Sandwiches","4.5","(2000+)","Cyberjaya",""
"q9rr","House of Mini","Bread","4.6","(100+)","Cyberjaya",""
"s1ri","SANA’A RESTAURANT CYBERJAYA","Chicken","4.6","(500+)","Cyberjaya",""
"n2fr","Restoran Jamek","Indian","4.6","(10000+)","Cyberjaya",""
"mygv","KRUNG THEP","Thai","4.1","(5)","Cyberjaya",""
"h5ny","shawarma Almaulem","Sandwiches","5","(10)","Cyberjaya",""
"o3c9","Pok Mat Sotong Giant","Malaysian","4","(100+)","Cyberjaya",""
"vsy9","1990 Viet Cafe (Third Avenue)","Beverages","5","(2)","Cyberjaya",""
"m9cu","Restoran Jaipur Mahal (Cyberjaya)","Chicken","4.2","(1000+)","Cyberjaya",""
"d1nc","Campur Campur Kitchen","Malaysian","4.5","(500+)","Cyberjaya",""
"i0oi","TGV Cinemas (Dpulze)","Snacks","3.8","(100+)","Cyberjaya",""
"xkoe","Nelson's (Dpulze Shopping Centre)","Asian","4.4","(66)","Cyberjaya",""
"xf54","BananaBro (D' Pulze)","Rice Dishes","4.7","(100+)","Cyberjaya",""
"fk3h","Yolé (DPulze Shopping Centre)","Asian","4.9","(29)","Cyberjaya",""
"b8hm","Melaka cendol","Fast Food","2.2","(22)","Cyberjaya",""
"abx2","MIXUE DPULZE SHOPPING MALL","Malaysian","4.4","(100+)","Cyberjaya",""
"e6qx","llaollao (Dpluze)","Desserts","4.9","(100+)","Cyberjaya",""
"ij19","Teppanyaki (Dpulze)","Japanese","4.7","(100+)","Cyberjaya",""
"yrm8","DMR Da Mang Ren - DPULZE Cyberjaya","Asian","4.1","(14)","Cyberjaya",""
"n7jp","Domino's Pizza (Cyberjaya)","Pizza","4.4","(5000+)","Cyberjaya",""
"q4ek","Sepiring (Dpulze)","Chicken","4.7","(100+)","Cyberjaya",""
"ond9","NASI KANDAR MELAYU UNDERGROUND","Nasi Kandar","4.3","(500+)","Cyberjaya",""
"n2xf","Al-Khaemah","Chicken","4.6","(3000+)","Cyberjaya",""
"qeuv","Al - Mahroof Mandi (Cyberjaya)","Asian","4.7","(13)","Cyberjaya",""
"ryxe","Nizam's A Royal Hyderabadi Biryani (Glomac)","Briyani","3.9","(100+)","Cyberjaya",""
"tuc6","Nasi Kukus Meletop! (Cyberjaya)","Nasi Kukus","4.2","(63)","Cyberjaya",""
"u11r","Nasi Ayam Station (Cyberjaya)","Fried Rice","4.4","(100+)","Cyberjaya",""
"g283","Seaside Bite - Cyberjaya","Seafood","4.2","(100+)","Cyberjaya",""
